shapeName,shapeISO,month,flood_area_km2,quality,tower_count
Ariwara,,2025-05,0.0,valid,0
Ariwara,,2025-06,0.0,valid,0
Ariwara,,2025-07,0.0,valid,0
Ariwara,,2025-08,0.0,valid,0
Ariwara,,2025-09,0.0,valid,0
Ariwara,,2025-10,0.0,valid,0
Ariwara,,2025-11,0.0,valid,0
Ariwara,,2025-12,0.0,valid,0
Ariwara,,2026-01,0.0,valid,0
Ariwara,,2026-02,0.0,valid,0
Aru,,2025-05,0.0,valid,31
Aru,,2025-06,0.0,valid,31
Aru,,2025-07,0.0,valid,31
Aru,,2025-08,0.0,valid,31
Aru,,2025-09,0.0,valid,31
Aru,,2025-10,0.0,valid,31
Aru,,2025-11,0.0,valid,31
Aru,,2025-12,0.0,valid,31
Aru,,2026-01,0.0,valid,31
Aru,,2026-02,0.0,valid,31
Baraka,,2025-05,0.0,valid,0
Baraka,,2025-06,0.0,valid,0
Baraka,,2025-07,0.0,valid,0
Baraka,,2025-08,0.0,valid,0
Baraka,,2025-09,0.0,valid,0
Baraka,,2025-10,0.0,valid,0
Baraka,,2025-11,0.0,valid,0
Baraka,,2025-12,0.0,valid,0
Baraka,,2026-01,0.0,valid,0
Baraka,,2026-02,0.0,valid,0
Beni,,2025-05,0.0,valid,179
Beni,,2025-06,0.0,valid,179
Beni,,2025-07,0.0,valid,179
Beni,,2025-08,0.0,valid,179
Beni,,2025-09,0.0,valid,179
Beni,,2025-10,0.0,valid,179
Beni,,2025-11,0.0,valid,179
Beni,,2025-12,0.0,valid,179
Beni,,2026-01,0.0,valid,179
Beni,,2026-02,0.0,valid,179
Bukavu,,2025-05,0.0,valid,123
Bukavu,,2025-06,0.0,valid,123
Bukavu,,2025-07,0.0,valid,123
Bukavu,,2025-08,0.0,valid,123
Bukavu,,2025-09,0.0,valid,123
Bukavu,,2025-10,0.0,valid,123
Bukavu,,2025-11,0.0,valid,123
Bukavu,,2025-12,0.0,valid,123
Bukavu,,2026-01,0.0,valid,123
Bukavu,,2026-02,0.0,valid,123
Bunia,,2025-05,0.0,valid,0
Bunia,,2025-06,0.0,valid,0
Bunia,,2025-07,0.0,valid,0
Bunia,,2025-08,0.0,valid,0
Bunia,,2025-09,0.0,valid,0
Bunia,,2025-10,0.0,valid,0
Bunia,,2025-11,0.0,valid,0
Bunia,,2025-12,0.0,valid,0
Bunia,,2026-01,0.0,valid,0
Bunia,,2026-02,0.0,valid,0
Butembo,,2025-05,0.0,valid,79
Butembo,,2025-06,0.0,valid,79
Butembo,,2025-07,0.0,valid,79
Butembo,,2025-08,0.0,valid,79
Butembo,,2025-09,0.0,valid,79
Butembo,,2025-10,0.0,valid,79
Butembo,,2025-11,0.0,valid,79
Butembo,,2025-12,0.0,valid,79
Butembo,,2026-01,0.0,valid,79
Butembo,,2026-02,0.0,valid,79
Djugu,,2025-05,0.0,valid,0
Djugu,,2025-06,0.0,valid,0
Djugu,,2025-07,0.0,valid,0
Djugu,,2025-08,0.0,valid,0
Djugu,,2025-09,0.0,valid,0
Djugu,,2025-10,0.0,valid,0
Djugu,,2025-11,0.0,valid,0
Djugu,,2025-12,0.0,valid,0
Djugu,,2026-01,0.0,valid,0
Djugu,,2026-02,0.094,valid,0
Fizi,,2025-05,0.0,valid,0
Fizi,,2025-06,0.0,valid,0
Fizi,,2025-07,0.0,valid,0
Fizi,,2025-08,0.0,valid,0
Fizi,,2025-09,0.46,valid,0
Fizi,,2025-10,0.0,valid,0
Fizi,,2025-11,0.0,valid,0
Fizi,,2025-12,0.0,valid,0
Fizi,,2026-01,0.0,valid,0
Fizi,,2026-02,0.03,valid,0
Goma,,2025-05,0.0,valid,126
Goma,,2025-06,0.0,valid,126
Goma,,2025-07,0.0,valid,126
Goma,,2025-08,0.0,valid,126
Goma,,2025-09,0.0,valid,126
Goma,,2025-10,0.0,valid,126
Goma,,2025-11,0.0,valid,126
Goma,,2025-12,0.0,valid,126
Goma,,2026-01,0.0,valid,126
Goma,,2026-02,0.0,valid,126
Idjwi,,2025-05,0.0,valid,0
Idjwi,,2025-06,0.0,valid,0
Idjwi,,2025-07,0.0,valid,0
Idjwi,,2025-08,0.0,valid,0
Idjwi,,2025-09,0.0,valid,0
Idjwi,,2025-10,0.0,valid,0
Idjwi,,2025-11,0.0,valid,0
Idjwi,,2025-12,0.0,valid,0
Idjwi,,2026-01,0.0,valid,0
Idjwi,,2026-02,0.01,valid,0
Ingbokolo,,2025-05,0.0,valid,0
Ingbokolo,,2025-06,0.0,valid,0
Ingbokolo,,2025-07,0.0,valid,0
Ingbokolo,,2025-08,0.0,valid,0
Ingbokolo,,2025-09,0.0,valid,0
Ingbokolo,,2025-10,0.0,valid,0
Ingbokolo,,2025-11,0.0,valid,0
Ingbokolo,,2025-12,0.0,valid,0
Ingbokolo,,2026-01,0.0,valid,0
Ingbokolo,,2026-02,0.0,valid,0
Irumu,,2025-05,2.06,valid,0
Irumu,,2025-06,12.08,valid,0
Irumu,,2025-07,5.86,valid,0
Irumu,,2025-08,1.29,valid,0
Irumu,,2025-09,2.11,valid,0
Irumu,,2025-10,0.82,valid,0
Irumu,,2025-11,5.06,valid,0
Irumu,,2025-12,3.96,valid,0
Irumu,,2026-01,6.49,valid,0
Irumu,,2026-02,0.4,valid,0
Kabare,,2025-05,0.0,valid,25
Kabare,,2025-06,0.0,valid,25
Kabare,,2025-07,0.0,valid,25
Kabare,,2025-08,0.0,valid,25
Kabare,,2025-09,0.06,valid,25
Kabare,,2025-10,0.0,valid,25
Kabare,,2025-11,0.0,valid,25
Kabare,,2025-12,0.0,valid,25
Kabare,,2026-01,0.0,valid,25
Kabare,,2026-02,0.0,valid,25
Kalehe,,2025-05,0.0,valid,0
Kalehe,,2025-06,0.0,valid,0
Kalehe,,2025-07,0.0,valid,0
Kalehe,,2025-08,0.0,valid,0
Kalehe,,2025-09,0.0,valid,0
Kalehe,,2025-10,0.0,valid,0
Kalehe,,2025-11,0.0,valid,0
Kalehe,,2025-12,0.0,valid,0
Kalehe,,2026-01,0.0,valid,0
Kalehe,,2026-02,0.0,valid,0
Kamituga,,2025-05,0.0,valid,0
Kamituga,,2025-06,0.0,valid,0
Kamituga,,2025-07,0.0,valid,0
Kamituga,,2025-08,0.0,valid,0
Kamituga,,2025-09,0.0,valid,0
Kamituga,,2025-10,0.0,valid,0
Kamituga,,2025-11,0.0,valid,0
Kamituga,,2025-12,0.0,valid,0
Kamituga,,2026-01,0.0,valid,0
Kamituga,,2026-02,0.0,valid,0
Lubero,,2025-05,0.254,valid,0
Lubero,,2025-06,0.0,valid,0
Lubero,,2025-07,0.0,valid,0
Lubero,,2025-08,0.0,valid,0
Lubero,,2025-09,2.758,valid,0
Lubero,,2025-10,0.0,valid,0
Lubero,,2025-11,0.0,valid,0
Lubero,,2025-12,0.0,valid,0
Lubero,,2026-01,0.0,valid,0
Lubero,,2026-02,0.0,valid,0
Mahagi,,2025-05,0.0,valid,0
Mahagi,,2025-06,0.0,valid,0
Mahagi,,2025-07,0.0,valid,0
Mahagi,,2025-08,0.0,valid,0
Mahagi,,2025-09,0.0,valid,0
Mahagi,,2025-10,0.0,valid,0
Mahagi,,2025-11,0.0,valid,0
Mahagi,,2025-12,0.0,valid,0
Mahagi,,2026-01,0.0,valid,0
Mahagi,,2026-02,0.0,valid,0
Mambasa,,2025-05,17.64,valid,0
Mambasa,,2025-06,0.0,valid,0
Mambasa,,2025-07,0.0,valid,0
Mambasa,,2025-08,0.0,valid,0
Mambasa,,2025-09,0.27,valid,0
Mambasa,,2025-10,0.0,valid,0
Mambasa,,2025-11,0.0,valid,0
Mambasa,,2025-12,0.0,valid,0
Mambasa,,2026-01,0.0,valid,0
Mambasa,,2026-02,11.8,valid,0
Masisi,,2025-05,0.0,valid,0
Masisi,,2025-06,0.0,valid,0
Masisi,,2025-07,0.0,valid,0
Masisi,,2025-08,0.0,valid,0
Masisi,,2025-09,1.165,valid,0
Masisi,,2025-10,0.0,valid,0
Masisi,,2025-11,0.0,valid,0
Masisi,,2025-12,0.0,valid,0
Masisi,,2026-01,0.0,valid,0
Masisi,,2026-02,0.0,valid,0
Mongwalu,,2025-05,0.0,valid,0
Mongwalu,,2025-06,0.0,valid,0
Mongwalu,,2025-07,0.0,valid,0
Mongwalu,,2025-08,0.0,valid,0
Mongwalu,,2025-09,0.0,valid,0
Mongwalu,,2025-10,0.0,valid,0
Mongwalu,,2025-11,0.0,valid,0
Mongwalu,,2025-12,0.0,valid,0
Mongwalu,,2026-01,0.0,valid,0
Mongwalu,,2026-02,0.0,valid,0
Mwenga,,2025-05,0.0,valid,0
Mwenga,,2025-06,0.0,valid,0
Mwenga,,2025-07,0.0,valid,0
Mwenga,,2025-08,0.0,valid,0
Mwenga,,2025-09,0.0,valid,0
Mwenga,,2025-10,0.0,valid,0
Mwenga,,2025-11,0.0,valid,0
Mwenga,,2025-12,0.0,valid,0
