shapeName,shapeISO,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Ariwara,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraka,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beni,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukavu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butembo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djugu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094
Fizi,,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.03
Goma,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idjwi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Ingbokolo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irumu,,2.06,12.08,5.86,1.29,2.11,0.82,5.06,3.96,6.49,0.4
Kabare,,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
Kalehe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamituga,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lubero,,0.254,0.0,0.0,0.0,2.758,0.0,0.0,0.0,0.0,0.0
Mahagi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mambasa,,17.64,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,11.8
Masisi,,0.0,0.0,0.0,0.0,1.165,0.0,0.0,0.0,0.0,0.0
Mongwalu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mwenga,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyiragongo,,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0
Oïcha,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31
Rutshuru,,4.376,0.0,0.0,0.0,4.316,0.0,0.0,0.0,0.0,0.0
Shabunda,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uvira,,0.0,0.0,0.0,0.0,110.245,0.0,0.0,0.0,0.0,0.57
Walikale,,0.34,0.0,0.0,0.0,2.815,0.0,0.0,0.0,0.0,0.0
Walungu,,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0
