admin3Name,month,flood_area_km2,quality
Bukavu,2025-05,0.0,valid
Bukavu,2025-06,0.0,valid
Bukavu,2025-09,0.0,valid
Bukavu,2025-12,0.0,valid
Bukavu,2026-02,0.0,valid
Bukavu,2026-05,0.0,valid
Bukavu,2026-06,0.0,valid
Bukavu,2026-07,0.0,valid
Butembo,2025-05,0.0,valid
Butembo,2025-06,0.0,valid
Butembo,2025-09,0.0,valid
Butembo,2025-12,0.0,valid
Butembo,2026-02,0.0,valid
Butembo,2026-05,0.0,valid
Butembo,2026-06,0.0,valid
Butembo,2026-07,0.0,valid
Beni,2025-05,0.0,valid
Beni,2025-06,0.0,valid
Beni,2025-09,0.0,valid
Beni,2025-12,0.0,valid
Beni,2026-02,0.0,valid
Beni,2026-05,0.0,valid
Beni,2026-06,0.0,valid
Beni,2026-07,0.0,valid
Irumu,2025-05,0.1,valid
Irumu,2025-06,0.03,valid
Irumu,2025-09,0.0,valid
Irumu,2025-12,0.18,valid
Irumu,2026-02,0.0,valid
Irumu,2026-05,0.47,valid
Irumu,2026-06,7.25,valid
Irumu,2026-07,2.573,valid
Mambasa,2025-05,4.04,valid
Mambasa,2025-06,0.0,valid
Mambasa,2025-09,0.0,valid
Mambasa,2025-12,0.0,valid
Mambasa,2026-02,3.24,valid
Mambasa,2026-05,0.0,valid
Mambasa,2026-06,0.0,valid
Mambasa,2026-07,0.0,valid
Djugu,2025-05,0.0,valid
Djugu,2025-06,0.0,valid
Djugu,2025-09,0.0,valid
Djugu,2025-12,0.0,valid
Djugu,2026-02,0.0,valid
Djugu,2026-05,0.0,valid
Djugu,2026-06,0.0,valid
Djugu,2026-07,0.0,valid
Mahagi,2025-05,0.0,valid
Mahagi,2025-06,0.0,valid
Mahagi,2025-09,0.0,valid
Mahagi,2025-12,0.0,valid
Mahagi,2026-02,0.0,valid
Mahagi,2026-05,0.0,valid
Mahagi,2026-06,0.0,valid
Mahagi,2026-07,0.0,valid
Aru,2025-05,0.0,valid
Aru,2025-06,0.0,valid
Aru,2025-09,0.0,valid
Aru,2025-12,0.0,valid
Aru,2026-02,0.0,valid
Aru,2026-05,0.0,valid
Aru,2026-06,0.0,valid
Aru,2026-07,0.0,valid
Nyiragongo,2025-05,0.0,valid
Nyiragongo,2025-06,0.0,valid
Nyiragongo,2025-09,0.0,valid
Nyiragongo,2025-12,0.0,valid
Nyiragongo,2026-02,0.0,valid
Nyiragongo,2026-05,0.0,valid
Nyiragongo,2026-06,0.0,valid
Nyiragongo,2026-07,0.0,valid
Walikale,2025-05,0.0,valid
Walikale,2025-06,0.0,valid
Walikale,2025-09,0.0,valid
Walikale,2025-12,0.0,valid
Walikale,2026-02,0.0,valid
Walikale,2026-05,0.0,valid
Walikale,2026-06,0.0,valid
Walikale,2026-07,0.0,valid
Lubero,2025-05,0.0,valid
Lubero,2025-06,0.0,valid
Lubero,2025-09,0.0,valid
Lubero,2025-12,0.0,valid
Lubero,2026-02,0.0,valid
Lubero,2026-05,0.0,valid
Lubero,2026-06,0.0,valid
Lubero,2026-07,0.0,valid
