admin3Name,peak_flood_km2,mean_flood_km2,months_exposed_10km2
Aru,0.0,0.0,0
Beni,0.0,0.0,0
Bukavu,3.281,0.3645555555555556,0
Butembo,0.0,0.0,0
Djugu,0.0,0.0,0
Fizi,1.852,0.20577777777777778,0
Goma,0.0,0.0,0
Idjwi,0.148,0.016444444444444442,0
Irumu,10.27,1.621222222222222,1
Kabare,5.334,0.5926666666666667,0
Kalehe,0.317,0.035222222222222224,0
Lubero,0.0,0.0,0
Mahagi,0.0,0.0,0
Mambasa,4.12,0.8488888888888889,0
Masisi,0.67,0.07777777777777778,0
Mwenga,0.0,0.0,0
Nyiragongo,0.0,0.0,0
Oicha,0.0,0.0,0
Rutshuru,3.119,0.5443333333333334,0
Shabunda,0.0,0.0,0
Uvira,8.822,0.9824444444444443,0
Walikale,0.1,0.011111111111111112,0
Walungu,0.468,0.052000000000000005,0
