admin3Name,2025-05,2025-06,2025-09,2025-12,2026-02,2026-05,2026-06,2026-07
Aru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukavu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butembo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djugu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fizi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idjwi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irumu,0.1,0.03,0.0,0.18,0.0,0.47,7.25,2.573
Kabare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalehe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lubero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahagi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mambasa,4.04,0.0,0.0,0.0,3.24,0.0,0.0,0.0
Masisi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mwenga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyiragongo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oicha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutshuru,1.78,0.0,3.058,0.0,0.0,0.0,0.0,0.0
Shabunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uvira,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.29
Walikale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walungu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
