h3_index,2025-05,2025-06,2025-09,2025-12,2026-01,2026-02,2026-05,2026-06,2026-07
876ac0934ffffff,,,,,,1.569559645338066,,,
876ac0935ffffff,,,,,,0.0004877352139968978,,,
876ac0a44ffffff,,,,,,,,,0.0021273037436664766
876ac0a56ffffff,,,,,,,0.4700000000001397,0.10999999999999419,0.08000000000008149
876ac0a60ffffff,,,,,,,,0.10000000000005238,
876ac0a62ffffff,,,,,,,,,0.25787270102899407
876ac0a64ffffff,,,,,,,,0.045156952372244506,
876ac0a65ffffff,,,,,,,,0.010095439289749512,
876ac0a66ffffff,,,,,,,,0.002989560667438692,
876ac0a70ffffff,0.06010785420864866,,,,,,,0.8236413269788853,1.3536413580213236
876ac0a72ffffff,,,,,,,,0.08988734443429168,0.11747380564655815
876ac0a74ffffff,,,,,,,,,0.022589340193927887
876ac0a75ffffff,,,,,,,,0.4600000000000757,0.5199999999999185
876ac0a76ffffff,0.03989215023010458,,,,,,,0.2064713183243352,0.1888848927143463
876ac0ac0ffffff,,,,,,,0.01000000000000582,,0.08000000000007566
876ac0ac2ffffff,,,,,,,,,0.11000000000021537
876ac0ad5ffffff,,,,,,,,,0.020000000000023284
876ac0b49ffffff,,,,,,,,0.9099999999999825,
876ac0b4bffffff,,,,,,,,0.7799999999999069,
876ac0b59ffffff,,,,,,,,0.44977048720410384,
876ac0b5bffffff,,,,,,,,0.18208300469515004,0.0074106660072957185
876ac429affffff,,,,,,1.065478944975581,,,
876ac429bffffff,,,,,,0.23349923532055947,,,
876ac4511ffffff,0.2100000000000582,,,,,,,,
876ac4528ffffff,0.6270998402802406,,,,,,,,
876ac4529ffffff,2.341363262777826,,,,,,,,
876ac452dffffff,0.848901615523864,,,,,,,,
876ac4669ffffff,,,,,,0.07097443752084821,,,
876ac4984ffffff,,,,,,0.0003406990189070729,,,
876ac49a2ffffff,,,,,,0.2996593113755469,,,
876ac4cdaffffff,0.012635281864535868,,,,,,,,
876ac5611ffffff,,0.7852310541358611,,,,,,,
876ac5618ffffff,,,,,0.12999999999995343,,,,
876ac561cffffff,,0.004768945865896811,,,,,,,
876ac561dffffff,,,,,0.019999999999988357,,,,
876ac5694ffffff,,,,,,,,0.33486126472992683,
876ac5695ffffff,,,,,,,,0.011357555204358312,
876ac5696ffffff,,,,0.17680917504951013,,,,2.3147639261393596,
876ada422ffffff,,,,,,,,,0.20000000000002327
876ada4b6ffffff,,,,,,,,,0.09374390276718188
876ada59cffffff,,,,,,,,,0.16999999999990686
876adac02ffffff,,,,,,,,,0.10490972559007089
876adac03ffffff,,,0.000202421944699091,,,,,,
876adac15ffffff,,,,,,,,,0.005090283392191917
876adac1dffffff,,,0.01979757768935182,,,,,,
876adacd2ffffff,,,,,,,,,0.04000000000000582
876adadadffffff,,,,,,,,,0.6399999999999418
876adc910ffffff,1.6137685308351017,,2.414493999442193,,,,,,
876adc912ffffff,0.002973310278029986,,0.07403020137374582,,,,,,
876adc914ffffff,,,0.19696977223099854,,,,,,
876adc916ffffff,0.16325815364084817,,0.4045055945473213,,,,,,
8796d66b2ffffff,,,,,,,,,0.006256095994276113
8796d66b6ffffff,,,,,,,,,0.03000000000001746
