month,flooded_pct,flooded_px,flood_area_km2,near_water_km2,away_water_km2,quality
2025-03,0.0,0,0.0,0.0,0.0,valid
2025-04,0.0,0,0.0,0.0,0.0,valid
2025-05,0.0,606,6.1,0.1,6.0,valid
2025-06,0.01,79,0.8,0.2,0.6,valid
2025-07,0.0,0,0.0,0.0,0.0,valid
2025-08,0.0,1,0.0,0.0,0.0,valid
2025-09,0.16,20985,209.9,0.3,209.5,valid
2025-10,0.0,0,0.0,0.0,0.0,valid
2025-11,0.0,47,0.5,0.1,0.4,valid
2025-12,0.01,90,0.9,0.1,0.8,valid
2026-01,0.04,139,1.4,0.1,1.3,valid
2026-02,0.01,1114,11.1,0.1,11.0,valid
2026-03,0.03,563,5.6,0.4,5.3,valid
2026-04,0.02,247,2.5,0.1,2.4,valid
2026-05,0.02,276,2.8,0.1,2.7,valid
2026-06,0.04,2326,23.3,0.1,23.2,valid
2026-07,0.04,646,6.5,0.1,6.3,valid
